county,ocd_id,fips
Adair,ocd-division/country:us/state:mo/county:adair,
Andrew,ocd-division/country:us/state:mo/county:andrew,
Atchison,ocd-division/country:us/state:mo/county:atchison,
Audrain,ocd-division/country:us/state:mo/county:audrain,
Barry,ocd-division/country:us/state:mo/county:barry,
Barton,ocd-division/country:us/state:mo/county:barton,
Bates,ocd-division/country:us/state:mo/county:bates,
Benton,ocd-division/country:us/state:mo/county:benton,
Bollinger,ocd-division/country:us/state:mo/county:bollinger,
Boone,ocd-division/country:us/state:mo/county:boone,
Buchanan,ocd-division/country:us/state:mo/county:buchanan,
Butler,ocd-division/country:us/state:mo/county:butler,
Caldwell,ocd-division/country:us/state:mo/county:caldwell,
Callaway,ocd-division/country:us/state:mo/county:callaway,
Camden,ocd-division/country:us/state:mo/county:camden,
Cape Girardeau,ocd-division/country:us/state:mo/county:cape_girardeau,
Carroll,ocd-division/country:us/state:mo/county:carroll,
Carter,ocd-division/country:us/state:mo/county:carter,
Cass,ocd-division/country:us/state:mo/county:cass,
Cedar,ocd-division/country:us/state:mo/county:cedar,
Chariton,ocd-division/country:us/state:mo/county:chariton,
Christian,ocd-division/country:us/state:mo/county:christian,
Clark,ocd-division/country:us/state:mo/county:clark,
Clay,ocd-division/country:us/state:mo/county:clay,
Clinton,ocd-division/country:us/state:mo/county:clinton,
Cole,ocd-division/country:us/state:mo/county:cole,
Cooper,ocd-division/country:us/state:mo/county:cooper,
Crawford,ocd-division/country:us/state:mo/county:crawford,
Dade,ocd-division/country:us/state:mo/county:dade,
Dallas,ocd-division/country:us/state:mo/county:dallas,
Daviess,ocd-division/country:us/state:mo/county:daviess,
DeKalb,ocd-division/country:us/state:mo/county:dekalb,
Dent,ocd-division/country:us/state:mo/county:dent,
Douglas,ocd-division/country:us/state:mo/county:douglas,
Dunklin,ocd-division/country:us/state:mo/county:dunklin,
Franklin,ocd-division/country:us/state:mo/county:franklin,
Gasconade,ocd-division/country:us/state:mo/county:gasconade,
Gentry,ocd-division/country:us/state:mo/county:gentry,
Greene,ocd-division/country:us/state:mo/county:greene,
Grundy,ocd-division/country:us/state:mo/county:grundy,
Harrison,ocd-division/country:us/state:mo/county:harrison,
Henry,ocd-division/country:us/state:mo/county:henry,
Hickory,ocd-division/country:us/state:mo/county:hickory,
Holt,ocd-division/country:us/state:mo/county:holt,
Howard,ocd-division/country:us/state:mo/county:howard,
Howell,ocd-division/country:us/state:mo/county:howell,
Iron,ocd-division/country:us/state:mo/county:iron,
Jackson,ocd-division/country:us/state:mo/county:jackson,
Jasper,ocd-division/country:us/state:mo/county:jasper,
Jefferson,ocd-division/country:us/state:mo/county:jefferson,
Johnson,ocd-division/country:us/state:mo/county:johnson,
Knox,ocd-division/country:us/state:mo/county:knox,
Laclede,ocd-division/country:us/state:mo/county:laclede,
Lafayette,ocd-division/country:us/state:mo/county:lafayette,
Lawrence,ocd-division/country:us/state:mo/county:lawrence,
Lewis,ocd-division/country:us/state:mo/county:lewis,
Lincoln,ocd-division/country:us/state:mo/county:lincoln,
Linn,ocd-division/country:us/state:mo/county:linn,
Livingston,ocd-division/country:us/state:mo/county:livingston,
McDonald,ocd-division/country:us/state:mo/county:mcdonald,
Macon,ocd-division/country:us/state:mo/county:macon,
Madison,ocd-division/country:us/state:mo/county:madison,
Maries,ocd-division/country:us/state:mo/county:maries,
Marion,ocd-division/country:us/state:mo/county:marion,
Mercer,ocd-division/country:us/state:mo/county:mercer,
Miller,ocd-division/country:us/state:mo/county:miller,
Mississippi,ocd-division/country:us/state:mo/county:mississippi,
Moniteau,ocd-division/country:us/state:mo/county:moniteau,
Monroe,ocd-division/country:us/state:mo/county:monroe,
Montgomery,ocd-division/country:us/state:mo/county:montgomery,
Morgan,ocd-division/country:us/state:mo/county:morgan,
New Madrid,ocd-division/country:us/state:mo/county:new_madrid,
Newton,ocd-division/country:us/state:mo/county:newton,
Nodaway,ocd-division/country:us/state:mo/county:nodaway,
Oregon,ocd-division/country:us/state:mo/county:oregon,
Osage,ocd-division/country:us/state:mo/county:osage,
Ozark,ocd-division/country:us/state:mo/county:ozark,
Pemiscot,ocd-division/country:us/state:mo/county:pemiscot,
Perry,ocd-division/country:us/state:mo/county:perry,
Pettis,ocd-division/country:us/state:mo/county:pettis,
Phelps,ocd-division/country:us/state:mo/county:phelps,
Pike,ocd-division/country:us/state:mo/county:pike,
Platte,ocd-division/country:us/state:mo/county:platte,
Polk,ocd-division/country:us/state:mo/county:polk,
Pulaski,ocd-division/country:us/state:mo/county:pulaski,
Putnam,ocd-division/country:us/state:mo/county:putnam,
Ralls,ocd-division/country:us/state:mo/county:ralls,
Randolph,ocd-division/country:us/state:mo/county:randolph,
Ray,ocd-division/country:us/state:mo/county:ray,
Reynolds,ocd-division/country:us/state:mo/county:reynolds,
Ripley,ocd-division/country:us/state:mo/county:ripley,
St. Charles,ocd-division/country:us/state:mo/county:st_charles,
St. Clair,ocd-division/country:us/state:mo/county:st_clair,
Ste. Genevieve,ocd-division/country:us/state:mo/county:ste_genevieve,
St. Francois,ocd-division/country:us/state:mo/county:st_francois,
St. Louis,ocd-division/country:us/state:mo/county:st_louis,
St. Louis City,ocd-division/country:us/state:mo/place:st_louis,
Saline,ocd-division/country:us/state:mo/county:saline,
Schuyler,ocd-division/country:us/state:mo/county:schuyler,
Scotland,ocd-division/country:us/state:mo/county:scotland,
Scott,ocd-division/country:us/state:mo/county:scott,
Shannon,ocd-division/country:us/state:mo/county:shannon,
Shelby,ocd-division/country:us/state:mo/county:shelby,
Stoddard,ocd-division/country:us/state:mo/county:stoddard,
Stone,ocd-division/country:us/state:mo/county:stone,
Sullivan,ocd-division/country:us/state:mo/county:sullivan,
Taney,ocd-division/country:us/state:mo/county:taney,
Texas,ocd-division/country:us/state:mo/county:texas,
Vernon,ocd-division/country:us/state:mo/county:vernon,
Warren,ocd-division/country:us/state:mo/county:warren,
Washington,ocd-division/country:us/state:mo/county:washington,
Wayne,ocd-division/country:us/state:mo/county:wayne,
Webster,ocd-division/country:us/state:mo/county:webster,
Worth,ocd-division/country:us/state:mo/county:worth,
Wright,ocd-division/country:us/state:mo/county:wright,
