year,election,office,district,party,candidate,county,votes,winner
2004,general,House of Delegates,1,D,Joe DeLong,Brooke,687,
2004,general,House of Delegates,1,D,Joe DeLong,Hancock,9048,
2004,general,House of Delegates,1,D,Joe DeLong,Totals,9735,1
2004,general,House of Delegates,1,D,Randy Swartzmiller,Brooke,583,
2004,general,House of Delegates,1,D,Randy Swartzmiller,Hancock,9043,
2004,general,House of Delegates,1,D,Randy Swartzmiller,Totals,9626,1
2004,general,House of Delegates,1,R,Pat Chaney,Brooke,172,
2004,general,House of Delegates,1,R,Pat Chaney,Hancock,3176,
2004,general,House of Delegates,1,R,Pat Chaney,Totals,3348,
2004,general,House of Delegates,1,R,Roger D. Madden,Brooke,234,
2004,general,House of Delegates,1,R,Roger D. Madden,Hancock,3438,
2004,general,House of Delegates,1,R,Roger D. Madden,Totals,3672,
2004,general,House of Delegates,2,D,Tim Ennis,Brooke,6845,
2004,general,House of Delegates,2,D,Tim Ennis,Ohio,2149,
2004,general,House of Delegates,2,D,Tim Ennis,Totals,8994,1
2004,general,House of Delegates,2,D,Jack Yost,Brooke,6596,
2004,general,House of Delegates,2,D,Jack Yost,Ohio,2335,
2004,general,House of Delegates,2,D,Jack Yost,Totals,8931,1
2004,general,House of Delegates,2,R,Jamey Gray,Brooke,2858,
2004,general,House of Delegates,2,R,Jamey Gray,Ohio,1371,
2004,general,House of Delegates,2,R,Jamey Gray,Totals,4229,
2004,general,House of Delegates,2,R,Robert 'Les' McNinch,Brooke,1278,
2004,general,House of Delegates,2,R,Robert 'Les' McNinch,Ohio,2776,
2004,general,House of Delegates,2,R,Robert 'Les' McNinch,Totals,4054,